Feature	Gain	Cover	Frequency
mextraccion_autoservicio	0.000579990246631889	0.00153532383630745	0.00187859574967712
Visa_fultimo_cierre	0.000543984415537486	0.000839970849441066	0.00152635904661266
active_quarter	0.000488996456475633	0.000831583589839048	0.0011741223435482
cplazo_fijo	0.000429415619712974	0.00288001492549539	0.000939297874838558
cmobile_app_trx	0.00039871164202583	0.000422170035797928	0.00129153457790302
Master_status	0.000328023806066019	0.000915444076041729	0.000939297874838558
ctarjeta_master_trx	0.000292857050695074	0.00020155822446999	0.000704473406128919
Visa_mpagosdolares	0.000291653096852022	0.00110520976022808	0.00140894681225784
Visa_delinquency	0.00029006219973133	0.000561517705795656	0.000469648937419279
Master_mpagosdolares	0.000245412841768925	0.000640025652662368	0.000939297874838558
cextraccion_autoservicio	0.000217186327403633	0.000743281222576561	0.000821885640483738
Master_msaldodolares	0.000188509914407827	0.000180269165301135	0.00023482446870964
ctarjeta_visa_descuentos	0.000157625014380333	0.00309151288817118	0.0023482446870964
Master_mconsumototal	0.00014045518076788	0.000343979366149773	0.000587061171774099
mdescubierto_preacordado	8.5079005419883e-05	0.000327289615668252	0.00023482446870964
Master_mconsumosdolares	7.26531723168185e-05	0.000164061385556201	0.000469648937419279
mttarjeta_master_debitos_automaticos	5.38321491419337e-05	6.27143228803536e-05	0.00023482446870964
ctarjeta_master	5.04937361318691e-05	3.69882265786962e-05	0.00011741223435482
ctarjeta_visa	4.1129624978346e-05	0.000116905756202664	0.00011741223435482
Visa_madelantopesos	3.72121586384831e-05	3.87804795690207e-05	0.00011741223435482
Visa_msaldodolares	3.56032888642698e-05	8.96828864577359e-05	0.00011741223435482
Master_madelantodolares	9.41320378261313e-06	4.51623533926761e-05	0.00011741223435482
