fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 232109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.087022152	0.300987206	6143	999	0.031689549	11015000	12
20220425 232439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	0.067054045	0.788166808	7723	696	0.034475565	10416000	18
20220425 232232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.297452243	0.253802548	659	641	0.008806632	10216000	15
20220425 231722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.211841441	0.518275997	5152	121	0.036360047	10176000	5
20220425 232046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.033655537	0.943122003	2347	213	0.040242724	9823000	11
20220425 231752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	12	TRUE	0.189699991	0.876578245	838	353	0.030909259	9404000	6
20220425 231842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.049237911	0.376192423	4620	620	0.042071867	9254000	7
20220425 232416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	364	TRUE	0.020017645	0.323104322	7301	62	0.045728987	8482000	17
20220425 232148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.269206417	0.755323622	5401	921	0.046542414	7919000	14
20220425 231950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.247195324	0.657569191	1810	235	0.048402503	7915000	10
20220425 232658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.071785508	0.237866053	185	486	0.038755887	7267000	19
20220425 235917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.080453186	0.59207118	22	656	0.015297005	4399000	58
