fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220427 032431	0	0	0	1	auto	depthwise	256	0	1	0.18442504748922	0.200609767980163	10	2	0.0164484822508092	72	12822000	89
20220427 032937	0	0	0	1	auto	depthwise	256	0	1	0.0857492729331306	0.526782373924831	10	21	0.0121886630858026	20	13349000	90
20220427 035931	0	0	0	1	auto	depthwise	256	0	1	0.0100491789252873	0.547950065346415	9	19	0.0132024675979277	207	13392000	91
20220427 042255	0	0	0	1	auto	depthwise	256	0	1	0.010229914130591	0.481659880160932	9	15	0.0140397032097705	187	13675000	92
20220427 043111	0	0	0	1	auto	depthwise	256	0	1	0.0700371095237759	0.773567816593777	10	23	0.0137685422751898	28	13379000	93
20220427 044538	0	0	0	1	auto	depthwise	256	0	1	0.0210982338420836	0.556268588641587	10	24	0.010746382033869	67	12974000	94
20220427 044820	0	0	0	1	auto	depthwise	256	0	1	0.121781126035223	0.80798822731325	10	4	0.0208802620016068	52	12260000	95
20220427 045011	0	0	0	1	auto	depthwise	256	0	1	0.08306397123282	0.200309616489912	6	2	0.0313983603037911	218	11364000	96
20220427 045537	0	0	0	1	auto	depthwise	256	0	1	0.0665912025041794	0.549073711748703	10	16	0.0130151977890896	23	12902000	97
20220427 050940	0	0	0	1	auto	depthwise	256	0	1	0.0103523410754985	0.522406301035212	5	4	0.0164652643808155	476	13362000	98
20220427 054952	0	0	0	1	auto	depthwise	256	0	1	0.0101389308407843	0.63805047765761	7	16	0.0163562103936795	368	12764000	99
20220427 064206	0	0	0	1	auto	depthwise	256	0	1	0.0100049646109137	0.834196554425731	10	21	0.0159839293738042	361	13137000	100
20220427 064401	0	0	0	1	auto	depthwise	256	0	1	0.29986014599043	0.812075966469871	10	4	0.0140220563923202	35	12700000	101
20220427 064957	0	0	0	1	auto	depthwise	256	0	1	0.127704247714788	0.785156981230108	10	22	0.0122673323652619	17	12880000	102
20220427 073035	0	0	0	1	auto	depthwise	256	0	1	0.0102579580972772	0.999814865069088	6	7	0.0206039469622659	595	12670000	103
20220427 084222	0	0	0	1	auto	depthwise	256	0	1	0.0104112795439043	0.999885007028113	10	12	0.0191875079117148	849	12609000	104
20220427 084500	0	0	0	1	auto	depthwise	256	0	1	0.115389277527095	0.724256135068997	10	3	0.0122525833231928	93	13195000	105
20220427 092621	0	0	0	1	auto	depthwise	256	0	1	0.0100181535851166	0.81097011095467	10	23	0.0124264494964237	180	13317000	106
20220427 093043	0	0	0	1	auto	depthwise	256	0	1	0.105165729815473	0.407349120029326	10	30	0.0132754383101799	33	12580000	107
20220427 093122	0	0	0	1	auto	depthwise	256	0	1	0.2998180347966	0.200040840451614	0	2	0.0357244936662543	40	8898000	108
20220427 093211	0	0	0	1	auto	depthwise	256	0	1	0.29991597597412	0.200298623166156	9	2	0.0146251730169415	70	12812000	109
20220427 093557	0	0	0	1	auto	depthwise	256	0	1	0.116833114470355	0.398629226685681	10	22	0.0138976896625113	26	13067000	110
20220427 101226	0	0	0	1	auto	depthwise	256	0	1	0.0101092777980417	0.894892726244979	5	14	0.0112123145704479	98	12826000	111
20220427 101347	0	0	0	1	auto	depthwise	256	0	1	0.105007982678307	0.200313913373445	8	2	0.0161971124068626	135	13050000	112
20220427 101446	0	0	0	1	auto	depthwise	256	0	1	0.299690498183582	0.392694210297776	3	2	0.0153475573878358	55	12281000	113
20220427 101657	0	0	0	1	auto	depthwise	256	0	1	0.189082848567281	0.996208677968034	10	4	0.0145594671299438	22	12553000	114
20220427 103921	0	0	0	1	auto	depthwise	256	0	1	0.010004412874062	0.413350817657739	8	12	0.0145245673769271	304	13630000	115
20220427 110230	0	0	0	1	auto	depthwise	256	0	1	0.0103248541356815	0.999905230495955	10	2	0.00943379164118404	275	11756000	116
20220427 110949	0	0	0	1	auto	depthwise	256	0	1	0.140753448481861	0.999929183931436	0	2	0.0245295749987985	243	10584000	117
20220427 132103	0	0	0	1	auto	depthwise	256	0	1	0.0102531913040689	0.200017055384166	10	4	0.0370105857991785	713	10846000	118
20220427 135746	0	0	0	1	auto	depthwise	256	0	1	0.0102132622833982	0.421416484143633	8	18	0.0119709495665913	153	13131000	119
20220427 141302	0	0	0	1	auto	depthwise	256	0	1	0.0103620385526469	0.20057183891564	10	7	0.0162624640743365	520	13584000	120
