fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220430 052941	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	90	TRUE	0.199828434636472	0.259520141373512	7527	496	0.0110318862978651	0.0135006704988364	17.6082488401144	35790000	55
20220430 053019	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	182	TRUE	0.165740641726811	0.499631084208103	7990	138	0.015550546893334	12.790774836412	26.7032566362421	36706000	56
20220430 053838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2608	TRUE	0.00543951746750254	0.25550874533601	910	215	0.0126793301415144	10.6133550145579	98.8741571324046	36944000	57
20220430 054943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	3748	TRUE	0.00504586254512257	0.283493952985984	1298	519	0.0119211830328057	12.1110687252371	60.4625433281009	36673000	58
20220430 055057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	458	TRUE	0.0599519651253062	0.289906819875377	1034	18	0.0152953543802625	1.88826733723888	99.6059802631393	37213000	59
20220430 055146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	283	TRUE	0.0904682721808418	0.312495452582679	7961	16	0.0154688964452568	9.19314287967436	57.2583757282605	37013000	60
20220430 060105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2895	TRUE	0.00512304305112403	0.499260199901142	7415	864	0.0143679592536991	11.3378856327606	36.5222413476099	36798000	61
20220430 061451	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	3430	TRUE	0.0053654938217013	0.262680231945905	1347	868	0.0120944836527225	0.8915666713562	31.5315089478753	37028000	62
20220430 061517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	111	TRUE	0.196942720403751	0.289902536663441	725	16	0.0140583773775548	14.4297652047492	99.6490334337328	36160000	63
20220430 062425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2756	TRUE	0.00509109774597252	0.454797042866559	7459	944	0.0115238511773599	0.192030220576759	17.0439229900075	36685000	64
20220430 063622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2107	TRUE	0.00534916406880364	0.4117121689358	853	930	0.0130659411674457	0.0340803703768979	42.8828693036089	37151000	65
20220430 064252	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2191	TRUE	0.0054714775235585	0.334486498808297	7680	72	0.0159966056101065	10.1115007646115	69.5756312294591	36941000	66
20220430 064420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	555	TRUE	0.0441069412132546	0.289975224461139	7570	30	0.0145143491040728	8.63024580510606	99.70262491065	37203000	67
20220430 064528	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	312	TRUE	0.0550783886029768	0.226417786890531	1593	30	0.01417954061293	4.21607862310097	97.379833961055	36687000	68
20220430 065557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	4237	TRUE	0.0051766703121356	0.300345547981262	7917	858	0.012571680274057	12.4785457067166	53.4517089423563	36918000	69
20220430 065821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	833	TRUE	0.0241464112029545	0.31244210758203	3906	26	0.014165192159355	11.2741405995194	99.7211362341808	37038000	70
20220430 071104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2130	TRUE	0.00531971288091331	0.411228904516168	617	882	0.016319477485676	2.82518478274412	36.3813969763917	36658000	71
20220430 071210	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	294	TRUE	0.040916397425216	0.430767685614927	7991	119	0.0140545579511455	2.23352188924088	19.5959408648331	37191000	72
20220430 071253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	115	TRUE	0.181798418638597	0.246155629851593	665	977	0.0141796276474445	0.0256238937661653	98.4719656793976	36765000	73
20220430 071335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	128	TRUE	0.190574923090625	0.292909291653192	724	955	0.0136445441359558	5.68283521278004	42.8720880131712	36947000	74
20220430 071358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	94	TRUE	0.183291247338052	0.263104469380025	8000	972	0.0146519129627609	1.19997374928339	32.3768198040511	36802000	75
20220430 071436	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	186	TRUE	0.149659853425391	0.200352693217365	1600	943	0.0131585096683961	9.19858127226953	37.8676150494421	36813000	76
20220430 071746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1095	TRUE	0.0160798742631998	0.435580925322462	7997	150	0.0142840288532429	18.2074462146271	31.8343520081293	37184000	77
20220430 072017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	732	TRUE	0.015834497480996	0.439197317703854	7981	301	0.0131552427496704	9.28437733257496	7.92425557635699	37016000	78
20220430 072111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	253	TRUE	0.0435766410405414	0.369278781445432	7979	16	0.0145135253156124	13.6703766578811	14.4594122339971	37294000	79
20220430 072150	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	164	TRUE	0.0732087500182451	0.431753193252435	7995	16	0.0144562155785423	13.2888516302121	6.76697034609548	36759000	80
20220430 072238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	127	TRUE	0.0247237588352203	0.321743364236968	218	17	0.0141597859627466	9.46876406236122	35.8729201053051	36799000	81
20220430 072307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	84	TRUE	0.186944043015164	0.498879813119532	2812	1004	0.0148992296395634	1.8062366251821	58.8704421109124	36723000	82
20220430 072402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	301	TRUE	0.0398854988182732	0.316712748673553	7985	58	0.0133924430532813	34.7128642635544	13.547038549726	35949000	83
20220430 072432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	168	TRUE	0.199972212402195	0.297762166130086	7996	887	0.0144425965340938	14.4859825246471	60.1544398047603	36026000	84
20220430 072500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	35	TRUE	0.172029286699374	0.284763303083447	1462	999	0.0149133822913071	0.0608066474373228	0.147873220867014	36117000	85
20220430 072525	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	87	TRUE	0.130825294050108	0.44978180437746	802	16	0.0148841292843475	2.00663712539497	99.7927101399813	36258000	86
20220430 072715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	124	TRUE	0.130597487507138	0.271026955335109	55	1023	0.0124725605403043	0.181339217170924	79.4387889231012	37060000	87
20220430 072750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	187	TRUE	0.117890723433068	0.238364224752442	7954	707	0.0146695865989679	0.368044674299658	33.1985037632412	36867000	88
20220430 072848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	235	TRUE	0.0335663732609961	0.347616122983408	8000	161	0.014605238129003	3.82503306986208	23.9798301673933	37425000	89
20220430 072920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	133	TRUE	0.144726777929259	0.266794758150613	4526	987	0.0126430128773231	0.0562181020552027	45.6457957615487	36521000	90
20220430 074140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2811	TRUE	0.00520189535199348	0.274823669194876	89	959	0.0129901663584882	10.3842141755411	91.4964162467813	36925000	91
20220430 074211	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	115	TRUE	0.186267497165678	0.494891539423983	7984	135	0.0148757782382254	0.0131516968204425	99.4172802795371	37012000	92
20220430 074246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	175	TRUE	0.170665208047608	0.407802309558667	8000	16	0.0147749869894186	10.4843040605685	77.1982411874358	36964000	93
20220430 074345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	308	TRUE	0.10364529434407	0.474093071151745	7984	17	0.0145468530187556	5.74027913884163	97.4234568340477	37276000	94
20220430 074623	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	187	TRUE	0.179863359503582	0.202187841342839	20	1023	0.0101845042556217	0.171802573264067	94.0629886502139	36218000	95
20220430 075241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2128	TRUE	0.00534026027820672	0.296154530572685	7976	773	0.0142392257626513	10.8279925236306	8.06951363080601	37159000	96
20220430 075317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	160	TRUE	0.113588160862453	0.36512017322653	7987	18	0.0144901905089731	1.19809804823304	35.1337472216319	36991000	97
20220430 075902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1391	TRUE	0.00901767676568345	0.288229624276496	1751	242	0.0147091935887491	2.86819710000766	18.9956838278135	37126000	98
20220430 080429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1693	TRUE	0.00604022424861987	0.348687892147566	8000	240	0.014540020770315	8.94166662456164	15.719120006037	37043000	99
20220430 080518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	202	TRUE	0.0395838332848701	0.28894464938053	7980	17	0.0153183029725654	0.392005542445151	17.3177986524787	37453000	100
20220430 080628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	297	TRUE	0.0368618830586782	0.275420281557123	4317	140	0.0154232201849728	3.71331537614376	0.0450777299568577	36792000	101
20220430 080822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	422	TRUE	0.0278594730674798	0.305872713317927	1165	173	0.0151214637699365	3.02295665622067	94.5813397536316	37074000	102
20220430 080919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	183	TRUE	0.0585628030214035	0.255565327551402	714	294	0.0141447821203928	7.28874736049604	32.8730844333783	37208000	103
20220430 081201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	679	TRUE	0.0172352073983189	0.200036374420566	1312	370	0.0144108579010101	4.33321777613703	28.5854125367089	37258000	104
20220430 081323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	181	TRUE	0.0387239654791346	0.202970422595347	596	202	0.0147921097945214	0.00500889310054966	27.5298505371687	37304000	105
20220430 081525	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	464	TRUE	0.0183068172916978	0.200231816831402	623	272	0.0128906362353659	9.06963522393174	23.1777308759313	36898000	106
20220430 081651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	298	TRUE	0.0356172319524577	0.220660124392208	1121	226	0.0167695406322128	2.62919661497058	37.9065384023328	37391000	107
20220430 081805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	208	TRUE	0.048324436984699	0.203893016653907	946	423	0.016475564772636	0.0582166579740251	26.2798557828267	37031000	108
20220430 081939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	378	TRUE	0.0396245392381762	0.257747787960045	1918	196	0.0154852422315044	0.472011777850615	36.1500972883935	36966000	109
20220430 082046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	392	TRUE	0.0338919174968207	0.202320570277423	7904	17	0.0192079181508434	2.31255975657304	79.858176430539	36794000	110
20220430 082133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	225	TRUE	0.099158171726742	0.470534154886242	7981	16	0.0178845465246272	8.7921457293842	99.3698233721727	36702000	111
20220430 082250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	347	TRUE	0.0702298340378736	0.202543783944093	409	1023	0.0146786349452694	8.87903639465811	52.9110556127038	36863000	112
20220430 082319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	149	TRUE	0.156528170037261	0.200331816293654	7993	160	0.0173332677145445	0.526391011416318	21.7688161675847	36925000	113
20220430 083408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1923	TRUE	0.00648294314143083	0.200880849439043	6	233	0.0176431924981408	8.26162277356816	41.6783582289178	36902000	114
20220430 083517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	300	TRUE	0.0252984812074188	0.212360445265457	5624	212	0.0169170863942189	0.363053501476713	19.6263269220726	36929000	115
20220430 083549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	68	TRUE	0.175110669275481	0.200816348174495	13	253	0.0167935270478934	8.65722074149346	28.5494815165854	35523000	116
20220430 083611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	47	TRUE	0.179573712263444	0.490296569387867	30	1024	0.012584658621134	23.0884725140439	98.1191329005157	36011000	117
20220430 083709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	349	TRUE	0.0616395960443952	0.211104041596765	7992	327	0.0147545219719626	2.58250353734197	5.34093401581705	36817000	118
20220430 083724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.199357872292668	0.258597201044126	7985	16	0.0188780386582518	0.0989751510738579	20.1388585089401	36141000	119
20220430 083802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	175	TRUE	0.158200135080174	0.467541338060178	7877	296	0.0132584842451484	9.61201225733012	99.9070019250608	36669000	120
